"","Term","ProbAbstract","ProbConcrete","Classification","Jitter"
"silver","silver",4.59356581949006e-11,0.999999999954064,"concrete",0.67743
"bolt","bolt",1.17097882687874e-09,0.999999998829021,"concrete",0.02126
"red","red",3.44513924109391e-09,0.999999996554861,"concrete",0.75656
"pioneer","pioneer",1.02026287121041e-08,0.999999989797371,"concrete",0.94437
"rain","rain",1.44205837976132e-08,0.999999985579416,"concrete",0.3141
"goblet","goblet",1.93198858385061e-08,0.999999980680114,"concrete",0.67437
"white","white",2.10469967732632e-08,0.999999978953003,"concrete",0.68578
"helmet","helmet",2.53647159578147e-08,0.999999974635284,"concrete",0.45111
"lightning","lightning",2.84793400508967e-08,0.99999997152066,"concrete",0.29165
"shot","shot",3.11412228027551e-08,0.999999968858777,"concrete",0.55394
"massy","massy",3.93051542265815e-08,0.999999960694846,"concrete",0.78669
"chariot","chariot",4.10387861780187e-08,0.999999958961214,"concrete",0.86936
"lattice","lattice",4.17251870633459e-08,0.999999958274813,"concrete",0.21824
"bead","bead",4.34630497092352e-08,0.99999995653695,"concrete",0.75598
"marble","marble",4.67112356913884e-08,0.999999953288764,"concrete",0.38189
"sun","sun",5.22860629021771e-08,0.999999947713937,"concrete",0.33075
"hinges","hinges",5.59858164347167e-08,0.999999944014184,"concrete",0.84116
"crystal","crystal",7.56828528071041e-08,0.999999924317147,"concrete",0.5844
"thunder","thunder",8.80238083175028e-08,0.999999911976192,"concrete",0.49266
"rolling","rolling",1.26030947685189e-07,0.999999873969052,"concrete",0.49974
"windows","windows",1.3742194976326e-07,0.99999986257805,"concrete",0.85406
"forehead","forehead",1.49479429539039e-07,0.99999985052057,"concrete",0.19133
"broad","broad",1.79402236404528e-07,0.999999820597764,"concrete",0.99117
"dow","dow",2.03138187418428e-07,0.999999796861813,"concrete",0.9351
"stone","stone",2.05356403837114e-07,0.999999794643596,"concrete",0.8248
"ivory","ivory",2.09572463738386e-07,0.999999790427536,"concrete",0.65353
"bright","bright",2.49434244499508e-07,0.999999750565755,"concrete",0.11688
"car","car",2.85685448508915e-07,0.999999714314551,"concrete",0.7501
"wheel","wheel",2.87811999526067e-07,0.999999712188,"concrete",0.25534
"snow","snow",3.17835095746267e-07,0.999999682164904,"concrete",0.31745
"candle","candle",3.45382111472452e-07,0.999999654617888,"concrete",0.56642
"rheumatism","rheumatism",4.42681879192939e-07,0.999999557318121,"concrete",0.46118
"threshold","threshold",4.4402999836009e-07,0.999999555970002,"concrete",0.2483
"quiver","quiver",5.34707443360216e-07,0.999999465292557,"concrete",0.20491
"pocket","pocket",5.37334051490871e-07,0.999999462665949,"concrete",0.92917
"horn","horn",6.1492560884458e-07,0.999999385074391,"concrete",0.0617
"copper","copper",6.84484389227638e-07,0.999999315515611,"concrete",0.12935
"foam","foam",6.86237161176124e-07,0.999999313762839,"concrete",0.26221
"rattling","rattling",7.09314568936417e-07,0.999999290685431,"concrete",0.64972
"ruddy","ruddy",7.36710747005458e-07,0.999999263289253,"concrete",0.73684
"furnace","furnace",7.64775700400282e-07,0.9999992352243,"concrete",0.17712
"morning","morning",7.85822305770944e-07,0.999999214177694,"concrete",0.23969
"sparkling","sparkling",8.73311406506196e-07,0.999999126688593,"concrete",0.03551
"crimson","crimson",8.90290795209587e-07,0.999999109709205,"concrete",0.20955
"casement","casement",9.09520179391547e-07,0.999999090479821,"concrete",0.70798
"int","int",9.58961798254682e-07,0.999999041038202,"concrete",0.69148
"cloud","cloud",9.82620666816893e-07,0.999999017379333,"concrete",0.47636
"door","door",9.8457962898496e-07,0.999999015420371,"concrete",0.91082
"blue","blue",1.06266805366151e-06,0.999998937331946,"concrete",0.14825
"grey","grey",1.07728698547606e-06,0.999998922713014,"concrete",0.05001
"arrows","arrows",1.1714812843401e-06,0.999998828518716,"concrete",0.44858
"diamond","diamond",1.19249643843992e-06,0.999998807503562,"concrete",0.05977
"moon","moon",1.19975812369268e-06,0.999998800241876,"concrete",0.77001
"blazing","blazing",1.22173929712429e-06,0.999998778260703,"concrete",0.2711
"gold","gold",1.23952913685839e-06,0.999998760470863,"concrete",0.9181
"frost","frost",1.24331987172402e-06,0.999998756680128,"concrete",0.63225
"arrow","arrow",1.2483801367232e-06,0.999998751619863,"concrete",0.77968
"shiny","shiny",1.30553254148623e-06,0.999998694467459,"concrete",0.65108
"apron","apron",1.71085795287705e-06,0.999998289142047,"concrete",0.96615
"brass","brass",1.73480718181586e-06,0.999998265192818,"concrete",0.55426
"radiant","radiant",1.76867558287372e-06,0.999998231324417,"concrete",0.52686
"beard","beard",1.87929324383826e-06,0.999998120706756,"concrete",0.60942
"neck","neck",1.90573995854998e-06,0.999998094260041,"concrete",0.4096
"o'clock","o'clock",1.96369997599884e-06,0.999998036300024,"concrete",0.83047
"inches","inches",1.98803332947412e-06,0.999998011966671,"concrete",0.49989
"portals","portals",2.01331775122049e-06,0.999997986682249,"concrete",0.77983
"orb","orb",2.02219853352364e-06,0.999997977801466,"concrete",0.62657
"hair","hair",2.04700151498744e-06,0.999997952998485,"concrete",0.80379
"sunbeam","sunbeam",2.09415661062612e-06,0.999997905843389,"concrete",0.24398
"finger","finger",2.15891148920708e-06,0.999997841088511,"concrete",0.80778
"glass","glass",2.19237921209412e-06,0.999997807620788,"concrete",0.54228
"shone","shone",2.35478825406222e-06,0.999997645211746,"concrete",0.21363
"farthing","farthing",2.49545432609013e-06,0.999997504545674,"concrete",0.56418
"light","light",2.58318560411227e-06,0.999997416814396,"concrete",0.80977
"book","book",2.65435424312965e-06,0.999997345645757,"concrete",0.7909
"flashing","flashing",2.67221380339908e-06,0.999997327786197,"concrete",0.28951
"hat","hat",3.0104165785265e-06,0.999996989583421,"concrete",0.45012
"clouds","clouds",3.01796888362791e-06,0.999996982031116,"concrete",0.16626
"buckles","buckles",3.09200676958112e-06,0.99999690799323,"concrete",0.0811
"fiery","fiery",3.19325034498034e-06,0.999996806749655,"concrete",0.15952
"vase","vase",3.41620945900635e-06,0.999996583790541,"concrete",0.38287
"pin","pin",3.46511409304282e-06,0.999996534885907,"concrete",0.42755
"curtain","curtain",3.49163028009449e-06,0.99999650836972,"concrete",0.25959
"bolts","bolts",3.52130191845007e-06,0.999996478698082,"concrete",0.19981
"smoke","smoke",3.68192059774526e-06,0.999996318079402,"concrete",0.2865
"rolls","rolls",4.17557239750628e-06,0.999995824427602,"concrete",0.18668
"flew","flew",4.18054739888044e-06,0.999995819452601,"concrete",0.21925
"shining","shining",4.29709558727026e-06,0.999995702904413,"concrete",0.22004
"jet","jet",4.62127711201617e-06,0.999995378722888,"concrete",0.14768
"window","window",4.63269716510889e-06,0.999995367302835,"concrete",0.11111
"dew","dew",4.75231000106981e-06,0.999995247689999,"concrete",0.28055
"cherry","cherry",5.37270585264723e-06,0.999994627294147,"concrete",0.65456
"roof","roof",5.9593488535698e-06,0.999994040651146,"concrete",0.13737
"ice","ice",6.37260510691425e-06,0.999993627394893,"concrete",0.85986
"wheels","wheels",6.45285460146456e-06,0.999993547145398,"concrete",0.11334
"bow","bow",7.18126044808114e-06,0.999992818739552,"concrete",0.85046
"armour","armour",7.31711385800172e-06,0.999992682886142,"concrete",0.68776
"graven","graven",7.64094933826537e-06,0.999992359050662,"concrete",0.90367
"wallet","wallet",7.70006495432829e-06,0.999992299935046,"concrete",0.20803
"shaft","shaft",8.04058776479327e-06,0.999991959412235,"concrete",0.64905
"button","button",8.0658656795841e-06,0.999991934134321,"concrete",0.99298
"sounding","sounding",8.13728861654241e-06,0.999991862711383,"concrete",0.07947
"key","key",8.15864426486143e-06,0.999991841355735,"concrete",0.56542
"silvery","silvery",8.18279204548891e-06,0.999991817207954,"concrete",0.3143
"plate","plate",8.56749203312396e-06,0.999991432507967,"concrete",0.38795
"azure","azure",9.08093927101998e-06,0.999990919060729,"concrete",0.31459
"wraith","wraith",9.34965430428171e-06,0.999990650345696,"concrete",0.88718
"bible","bible",1.0373457642581e-05,0.999989626542357,"concrete",0.27717
"iron","iron",1.04881154317441e-05,0.999989511884568,"concrete",0.71638
"brand","brand",1.05884426270345e-05,0.999989411557373,"concrete",0.31268
"arch","arch",1.11666957080783e-05,0.999988833304292,"concrete",0.93196
"buttons","buttons",1.12498681922986e-05,0.999988750131808,"concrete",0.15699
"sky","sky",1.18665278550139e-05,0.999988133472145,"concrete",0.34446
"column","column",1.1866708319192e-05,0.999988133291681,"concrete",0.10406
"mouth","mouth",1.19234282352433e-05,0.999988076571765,"concrete",0.85695
"cheek","cheek",1.21841837416146e-05,0.999987815816258,"concrete",0.24148
"black","black",1.24972940725514e-05,0.999987502705927,"concrete",0.65276
"tooth","tooth",1.27916323815097e-05,0.999987208367618,"concrete",0.01522
"ba","ba",1.29263380435066e-05,0.999987073661956,"concrete",0.7362
"veil","veil",1.30356817282771e-05,0.999986964318272,"concrete",0.87743
"gate","gate",1.31143346966969e-05,0.999986885665303,"concrete",0.57754
"flaming","flaming",1.3168837628712e-05,0.999986831162371,"concrete",0.64503
"coat","coat",1.34058712197107e-05,0.99998659412878,"concrete",0.8658
"stepping","stepping",1.35543530267771e-05,0.999986445646973,"concrete",0.64595
"water","water",1.36805187934817e-05,0.999986319481207,"concrete",0.45298
"wi","wi",1.4227655655892e-05,0.999985772344344,"concrete",0.26015
"crescent","crescent",1.43714219414665e-05,0.999985628578059,"concrete",0.51324
"serge","serge",1.48553937949166e-05,0.999985144606205,"concrete",0.83454
"locks","locks",1.49280871427924e-05,0.999985071912857,"concrete",0.38457
"doors","doors",1.54884159814127e-05,0.999984511584019,"concrete",0.4416
"wicker","wicker",1.54945006925782e-05,0.999984505499308,"concrete",0.84226
"beam","beam",1.56331691962422e-05,0.999984366830804,"concrete",0.70937
"gates","gates",1.56641564490082e-05,0.999984335843551,"concrete",0.1604
"toe","toe",1.57308856777641e-05,0.999984269114322,"concrete",0.16003
"face","face",1.6498397198274e-05,0.999983501602802,"concrete",0.76778
"flashes","flashes",1.67067579355289e-05,0.999983293242064,"concrete",0.8696
"flung","flung",1.67596055117986e-05,0.999983240394488,"concrete",0.43551
"whiter","whiter",1.81330839300251e-05,0.99998186691607,"concrete",0.12698
"tete","tete",1.81887173572711e-05,0.999981811282643,"concrete",0.76962
"armor","armor",1.84586872305971e-05,0.99998154131277,"concrete",0.26839
"tip","tip",1.85225011337728e-05,0.999981477498866,"concrete",0.14921
"nail","nail",1.85535890787182e-05,0.999981446410921,"concrete",0.71496
"run","run",1.87534644814814e-05,0.999981246535519,"concrete",0.26929
"gray","gray",1.89091978795163e-05,0.99998109080212,"concrete",0.72607
"bumper","bumper",1.90095097361803e-05,0.999980990490264,"concrete",0.38372
"mem","mem",1.90630228640789e-05,0.999980936977136,"concrete",0.57409
"tablet","tablet",1.94733535960035e-05,0.999980526646404,"concrete",0.86223
"foaming","foaming",1.9527846331856e-05,0.999980472153668,"concrete",0.89835
"pointer","pointer",1.95575989759396e-05,0.999980442401024,"concrete",0.7279
"knocker","knocker",2.0193014313486e-05,0.999979806985686,"concrete",0.68471
"hath","hath",2.0785243481419e-05,0.999979214756519,"concrete",0.83815
"telescope","telescope",2.09302189272776e-05,0.999979069781073,"concrete",0.17293
"canoe","canoe",2.21832374759527e-05,0.999977816762524,"concrete",0.14551
"mail","mail",2.25186719078943e-05,0.999977481328092,"concrete",0.13706
"cardinal","cardinal",2.29606284759934e-05,0.999977039371524,"concrete",0.93503
"spear","spear",2.32767940729247e-05,0.999976723205927,"concrete",0.64424
"shines","shines",2.40699028375888e-05,0.999975930097163,"concrete",0.22127
"covenant","covenant",2.48207587690519e-05,0.999975179241231,"concrete",0.7884
"mist","mist",2.51376238782827e-05,0.999974862376122,"concrete",0.91531
"shield","shield",2.51839732935106e-05,0.999974816026706,"concrete",0.95539
"tramps","tramps",2.55166198528694e-05,0.999974483380147,"concrete",0.86049
"everlasting","everlasting",2.60501907471593e-05,0.999973949809253,"concrete",0.6643
"belt","belt",2.61293325596246e-05,0.99997387066744,"concrete",0.23162
"cloudy","cloudy",2.62436131189358e-05,0.999973756386881,"concrete",0.38496
"drops","drops",2.62932745995207e-05,0.999973706725401,"concrete",0.39578
"kettle","kettle",2.73121158692484e-05,0.999972687884131,"concrete",0.56488
"hound","hound",2.73959955638727e-05,0.999972604004436,"concrete",0.7694
"torch","torch",2.76852644116938e-05,0.999972314735588,"concrete",0.88609
"glancing","glancing",2.82122779786116e-05,0.999971787722021,"concrete",0.71092
